years_after_graduation,section_name,sic_name,sex,number_of_graduates,median_earnings
1,Accommodation and food service activities,Hotels and similar accommodation,Female + male,1105,17900.0
1,Accommodation and food service activities,Holiday centres and villages,Female + male,80,17000.0
1,Accommodation and food service activities,Other holiday and other collective accommodation,Female + male,50,17300.0
1,Accommodation and food service activities,"Recreational vehicle parks, trailer parks and camping grounds",Female + male,120,17200.0
1,Accommodation and food service activities,Other accommodation,Female + male,75,18200.0
1,Accommodation and food service activities,Licensed restaurants,Female + male,2515,15700.0
1,Accommodation and food service activities,Unlicensed restaurants and cafes,Female + male,1755,15000.0
1,Accommodation and food service activities,Take-away food shops and mobile food stands,Female + male,565,12700.0
1,Accommodation and food service activities,Event catering activities,Female + male,480,17500.0
1,Accommodation and food service activities,Other food services,Female + male,280,15700.0
1,Accommodation and food service activities,Licensed clubs,Female + male,185,15000.0
1,Accommodation and food service activities,Public houses and bars,Female + male,2805,15000.0
1,Administrative and support service activities,Renting and leasing of cars and light motor vehicles,Female + male,405,23700.0
1,Administrative and support service activities,Renting and leasing of construction and civil engineering machinery and equipment,Female + male,35,23400.0
1,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.",Female + male,125,23400.0
1,Administrative and support service activities,Other activities of employment placement agencies,Female + male,1730,20400.0
1,Administrative and support service activities,Temporary employment agency activities,Female + male,6645,19300.0
1,Administrative and support service activities,Human resources provision and management of human resources functions,Female + male,300,19000.0
1,Administrative and support service activities,Travel agency activities,Female + male,75,19200.0
1,Administrative and support service activities,Tour operator activities,Female + male,95,17900.0
1,Administrative and support service activities,Other reservation service activities n.e.c.,Female + male,60,20100.0
1,Administrative and support service activities,Private security activities,Female + male,515,20400.0
1,Administrative and support service activities,Security systems service activities,Female + male,55,21200.0
1,Administrative and support service activities,Combined facilities support activities,Female + male,350,22600.0
1,Administrative and support service activities,General cleaning of buildings,Female + male,380,20100.0
1,Administrative and support service activities,Disinfecting and exterminating services,Female + male,55,23700.0
1,Administrative and support service activities,Other cleaning services,Female + male,55,15700.0
1,Administrative and support service activities,Landscape service activities,Female + male,115,19300.0
1,Administrative and support service activities,Combined office administrative service activities,Female + male,195,20100.0
1,Administrative and support service activities,"Photocopying, document preparation and other specialised office support activities",Female + male,35,19700.0
1,Administrative and support service activities,Activities of call centres,Female + male,910,17900.0
1,Administrative and support service activities,Activities of exhibition and fair organisers,Female + male,60,19300.0
1,Administrative and support service activities,Activities of conference organisers,Female + male,150,23000.0
1,Administrative and support service activities,Activities of collection agencies,Female + male,65,20100.0
1,Administrative and support service activities,Packaging activities,Female + male,85,20300.0
1,Administrative and support service activities,Other business support service activities n.e.c.,Female + male,2190,21500.0
1,"Agriculture, forestry and fishing","Growing of cereals (except rice), leguminous crops and oil seeds",Female + male,65,21500.0
1,"Agriculture, forestry and fishing","Growing of vegetables and melons, roots and tubers",Female + male,40,20100.0
1,"Agriculture, forestry and fishing",Mixed farming,Female + male,50,19000.0
1,"Arts, entertainment and recreation",Performing arts,Female + male,310,16000.0
1,"Arts, entertainment and recreation",Support activities to performing arts,Female + male,70,18400.0
1,"Arts, entertainment and recreation",Artistic creation,Female + male,155,18600.0
1,"Arts, entertainment and recreation",Operation of arts facilities,Female + male,175,13100.0
1,"Arts, entertainment and recreation",Museums activities,Female + male,85,14200.0
1,"Arts, entertainment and recreation",Operation of historical sites and buildings and similar visitor attractions,Female + male,55,13900.0
1,"Arts, entertainment and recreation",Botanical and zoological gardens and nature reserves activities,Female + male,170,16800.0
1,"Arts, entertainment and recreation",Gambling and betting activities,Female + male,410,19300.0
1,"Arts, entertainment and recreation",Operation of sports facilities,Female + male,565,15300.0
1,"Arts, entertainment and recreation",Activities of sport clubs,Female + male,615,17200.0
1,"Arts, entertainment and recreation",Fitness facilities,Female + male,315,15000.0
1,"Arts, entertainment and recreation",Other sports activities,Female + male,230,19700.0
1,"Arts, entertainment and recreation",Activities of amusement parks and theme parks,Female + male,160,16100.0
1,"Arts, entertainment and recreation",Other amusement and recreation activities n.e.c.,Female + male,305,15000.0
1,Construction,Development of building projects,Female + male,215,26600.0
1,Construction,Construction of commercial buildings,Female + male,545,31000.0
1,Construction,Construction of domestic buildings,Female + male,665,29200.0
1,Construction,Construction of roads and motorways,Female + male,70,25200.0
1,Construction,Construction of railways and underground railways,Female + male,40,25200.0
1,Construction,Construction of utility projects for electricity and telecommunications,Female + male,85,27000.0
1,Construction,Construction of other civil engineering projects n.e.c.,Female + male,545,30800.0
1,Construction,Electrical installation,Female + male,250,23000.0
1,Construction,"Plumbing, heat and air-conditioning installation",Female + male,190,20800.0
1,Construction,Other construction installation,Female + male,65,24300.0
1,Construction,Joinery installation,Female + male,140,21200.0
1,Construction,Other building completion and finishing,Female + male,115,21500.0
1,Construction,Other specialised construction activities n.e.c.,Female + male,120,22300.0
1,Education,Pre-primary education,Female + male,300,16400.0
1,Education,Primary education,Female + male,8755,21500.0
1,Education,General secondary education,Female + male,3710,19000.0
1,Education,Technical and vocational secondary education,Female + male,810,18100.0
1,Education,Post-secondary non-tertiary education,Female + male,115,18600.0
1,Education,First-degree level higher education,Female + male,1740,20800.0
1,Education,Post-graduate level higher education,Female + male,105,25600.0
1,Education,Sports and recreation education,Female + male,195,14200.0
1,Education,Cultural education,Female + male,70,13500.0
1,Education,Other education n.e.c.,Female + male,1605,19000.0
1,Education,Educational support services,Female + male,325,18600.0
1,"Electricity, gas, steam and air conditioning supply",Production of electricity,Female + male,95,34500.0
1,"Electricity, gas, steam and air conditioning supply",Distribution of electricity,Female + male,135,24800.0
1,"Electricity, gas, steam and air conditioning supply",Trade of electricity,Female + male,165,23400.0
1,"Electricity, gas, steam and air conditioning supply",Distribution of gaseous fuels through mains,Female + male,65,30700.0
1,"Electricity, gas, steam and air conditioning supply",Trade of gas through mains,Female + male,35,27700.0
1,Financial and insurance activities,Central banking,Female + male,45,36700.0
1,Financial and insurance activities,Banks,Female + male,1735,36500.0
1,Financial and insurance activities,Building societies,Female + male,185,20800.0
1,Financial and insurance activities,Financial leasing,Female + male,40,24500.0
1,Financial and insurance activities,Credit granting by non-deposit taking finance houses and other specialist consumer credit grantors,Female + male,130,26100.0
1,Financial and insurance activities,Other credit granting n.e.c.,Female + male,35,24100.0
1,Financial and insurance activities,Security dealing on own account,Female + male,65,47100.0
1,Financial and insurance activities,Financial intermediation not elsewhere classified,Female + male,300,25200.0
1,Financial and insurance activities,Life insurance,Female + male,195,24800.0
1,Financial and insurance activities,Non-life insurance,Female + male,385,25200.0
1,Financial and insurance activities,Administration of financial markets,Female + male,35,35800.0
1,Financial and insurance activities,Security and commodity contracts dealing activities,Female + male,200,29200.0
1,Financial and insurance activities,Activities auxiliary to financial intermediation n.e.c.,Female + male,1050,26300.0
1,Financial and insurance activities,Risk and damage evaluation,Female + male,90,21900.0
1,Financial and insurance activities,Activities of insurance agents and brokers,Female + male,710,23700.0
1,Financial and insurance activities,Other activities auxiliary to insurance and pension funding,Female + male,440,24100.0
1,Financial and insurance activities,Fund management activities,Female + male,450,35600.0
1,Human health and social work activities,Hospital activities,Female + male,26110,29600.0
1,Human health and social work activities,General medical practice activities,Female + male,1065,19300.0
1,Human health and social work activities,Specialists medical practice activities,Female + male,130,22400.0
1,Human health and social work activities,Dental practice activities,Female + male,340,21900.0
1,Human health and social work activities,Other human health activities,Female + male,5570,27000.0
1,Human health and social work activities,Residential nursing care facilities,Female + male,585,20800.0
1,Human health and social work activities,"Residential care activities for learning difficulties, mental health and substance abuse",Female + male,200,20300.0
1,Human health and social work activities,Residential care activities for the elderly and disabled,Female + male,745,19000.0
1,Human health and social work activities,Other residential care activities n.e.c.,Female + male,1645,20400.0
1,Human health and social work activities,Social work activities without accommodation for the elderly and disabled,Female + male,1085,18200.0
1,Human health and social work activities,Child day-care activities,Female + male,1310,17200.0
1,Human health and social work activities,Other social work activities without accommodation n.e.c.,Female + male,2020,20400.0
1,Information and communication,Book publishing,Female + male,190,22300.0
1,Information and communication,Publishing of newspapers,Female + male,215,21500.0
1,Information and communication,Publishing of learned journals,Female + male,35,25900.0
1,Information and communication,Publishing of  consumer and business journals and periodicals,Female + male,260,20400.0
1,Information and communication,Other publishing activities,Female + male,215,21900.0
1,Information and communication,Publishing of computer games,Female + male,50,21900.0
1,Information and communication,Other software publishing,Female + male,185,25900.0
1,Information and communication,Motion picture production activities,Female + male,405,24100.0
1,Information and communication,Video production activities,Female + male,200,19000.0
1,Information and communication,Television programme production activities,Female + male,680,25200.0
1,Information and communication,"Motion picture, video and television programme post-production activities",Female + male,150,20400.0
1,Information and communication,Motion picture distribution activities,Female + male,50,21500.0
1,Information and communication,Motion picture projection activities,Female + male,215,12000.0
1,Information and communication,Sound recording and music publishing activities,Female + male,115,19000.0
1,Information and communication,Radio broadcasting,Female + male,45,19000.0
1,Information and communication,Television programming and broadcasting activities,Female + male,380,28800.0
1,Information and communication,Wired telecommunications activities,Female + male,55,24100.0
1,Information and communication,Wireless telecommunications activities,Female + male,200,31400.0
1,Information and communication,Satellite telecommunications activities,Female + male,95,21900.0
1,Information and communication,Other telecommunications activities,Female + male,800,25200.0
1,Information and communication,Ready-made interactive leisure and entertainment software development,Female + male,360,24000.0
1,Information and communication,Business and domestic software development,Female + male,2130,26600.0
1,Information and communication,Information technology consultancy activities,Female + male,3115,27400.0
1,Information and communication,Other information technology service activities,Female + male,1320,27400.0
1,Information and communication,"Data processing, hosting and related activities",Female + male,355,25200.0
1,Information and communication,Web portals,Female + male,210,25200.0
1,Information and communication,News agency activities,Female + male,80,26500.0
1,Information and communication,Other information service activities n.e.c.,Female + male,155,23000.0
1,Manufacturing,Processing and preserving of poultry meat,Female + male,30,25200.0
1,Manufacturing,Production of meat and poultry meat products,Female + male,35,22300.0
1,Manufacturing,Other processing and preserving of fruit and vegetables,Female + male,35,23700.0
1,Manufacturing,Manufacture of bread; manufacture of fresh pastry goods and cakes,Female + male,145,19000.0
1,Manufacturing,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,Female + male,40,23400.0
1,Manufacturing,Manufacture of cocoa and chocolate confectionery,Female + male,75,26300.0
1,Manufacturing,Manufacture of prepared meals and dishes,Female + male,85,22600.0
1,Manufacturing,Manufacture of other food products n.e.c.,Female + male,85,24100.0
1,Manufacturing,"Distilling, rectifying and blending of spirits",Female + male,40,22600.0
1,Manufacturing,Manufacture of beer,Female + male,105,19700.0
1,Manufacturing,Manufacture of soft drinks; production of mineral waters and other bottled waters,Female + male,45,22600.0
1,Manufacturing,Manufacture of other builders' carpentry and joinery,Female + male,80,23000.0
1,Manufacturing,Manufacture of other paper and paperboard containers,Female + male,40,23400.0
1,Manufacturing,Printing n.e.c.,Female + male,175,17900.0
1,Manufacturing,Pre-press and pre-media services,Female + male,25,18200.0
1,Manufacturing,"Manufacture of paints, varnishes and similar coatings, mastics and sealants",Female + male,35,21200.0
1,Manufacturing,Manufacture of soap and detergents,Female + male,55,30000.0
1,Manufacturing,Manufacture of perfumes and toilet preparations,Female + male,70,22300.0
1,Manufacturing,Manufacture of other chemical products n.e.c.,Female + male,165,25600.0
1,Manufacturing,Manufacture of basic pharmaceutical products,Female + male,80,25900.0
1,Manufacturing,Manufacture of pharmaceutical preparations,Female + male,360,29600.0
1,Manufacturing,"Manufacture of plastic plates, sheets, tubes and profiles",Female + male,40,24600.0
1,Manufacturing,Manufacture of builders  ware of plastic,Female + male,85,21500.0
1,Manufacturing,Manufacture of other plastic products,Female + male,80,19700.0
1,Manufacturing,Processing of nuclear fuel,Female + male,90,38300.0
1,Manufacturing,Manufacture of metal structures and parts of structures,Female + male,95,24800.0
1,Manufacturing,Manufacture of weapons and ammunition,Female + male,165,28100.0
1,Manufacturing,Machining,Female + male,115,25200.0
1,Manufacturing,Manufacture of other fabricated metal products n.e.c.,Female + male,60,23400.0
1,Manufacturing,"Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",Female + male,210,28800.0
1,Manufacturing,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Female + male,140,31200.0
1,Manufacturing,Manufacture of lifting and handling equipment,Female + male,80,27400.0
1,Manufacturing,Manufacture of non-domestic cooling and ventilation equipment,Female + male,55,27400.0
1,Manufacturing,Manufacture of other general-purpose machinery n.e.c.,Female + male,80,24800.0
1,Manufacturing,Manufacture of motor vehicles,Female + male,255,31800.0
1,Manufacturing,Building of ships and floating structures,Female + male,225,32800.0
1,Manufacturing,Manufacture of air and spacecraft and related machinery,Female + male,400,32500.0
1,Manufacturing,Manufacture of office and shop furniture,Female + male,40,21400.0
1,Manufacturing,Manufacture of kitchen furniture,Female + male,145,23000.0
1,Manufacturing,Manufacture of other furniture,Female + male,90,19700.0
1,Manufacturing,Manufacture of medical and dental instruments and supplies,Female + male,215,24500.0
1,Manufacturing,Other manufacturing n.e.c.,Female + male,65,20800.0
1,Manufacturing,Repair of machinery,Female + male,340,19700.0
1,Manufacturing,Installation of industrial machinery and equipment,Female + male,60,24500.0
1,Other service activities,Activities of business and employers membership organizations,Female + male,95,20400.0
1,Other service activities,Activities of professional membership organizations,Female + male,135,24500.0
1,Other service activities,Activities of religious organizations,Female + male,260,16600.0
1,Other service activities,Activities of political organizations,Female + male,30,15700.0
1,Other service activities,Activities of other membership organizations n.e.c.,Female + male,650,18600.0
1,Other service activities,Repair of computers and peripheral equipment,Female + male,125,27600.0
1,Other service activities,Hairdressing and other beauty treatment,Female + male,175,12800.0
1,Other service activities,Funeral and related activities,Female + male,30,20800.0
1,Other service activities,Physical well-being activities,Female + male,70,19000.0
1,Other service activities,Other service activities n.e.c.,Female + male,420,20100.0
1,"Professional, scientific and technical activities",Solicitors,Female + male,1255,19000.0
1,"Professional, scientific and technical activities",Activities of patent and copyright agents; other legal activities n.e.c.,Female + male,510,21200.0
1,"Professional, scientific and technical activities",Accounting and auditing activities,Female + male,2215,25600.0
1,"Professional, scientific and technical activities",Bookkeeping activities,Female + male,825,16800.0
1,"Professional, scientific and technical activities",Tax consultancy,Female + male,70,24800.0
1,"Professional, scientific and technical activities",Activities of head offices,Female + male,1040,24500.0
1,"Professional, scientific and technical activities",Public relations and communications activities,Female + male,605,23400.0
1,"Professional, scientific and technical activities",Financial management,Female + male,250,27700.0
1,"Professional, scientific and technical activities",Management consultancy activities other than financial management,Female + male,3485,25600.0
1,"Professional, scientific and technical activities",Architectural activities,Female + male,685,21200.0
1,"Professional, scientific and technical activities",Urban planning and landscape architectural activities,Female + male,110,21900.0
1,"Professional, scientific and technical activities",Engineering design activities for industrial process and production,Female + male,420,30700.0
