years_after_graduation,section_name,group_name,sic_detailed,sex,number_of_graduates,earnings_median
1,Accommodation and food service activities,Hotels and similar accommodation,Hotels and similar accommodation,Female,695,17900.0
1,Accommodation and food service activities,Hotels and similar accommodation,Hotels and similar accommodation,Male,415,18200.0
1,Accommodation and food service activities,Holiday centres and villages,Holiday centres and villages,Female,55,16800.0
1,Accommodation and food service activities,Holiday centres and villages,Holiday centres and villages,Male,30,17200.0
1,Accommodation and food service activities,Other holiday and other collective accommodation,Other holiday and other collective accommodation,Female,30,16200.0
1,Accommodation and food service activities,Other holiday and other collective accommodation,Other holiday and other collective accommodation,Male,20,18200.0
1,Accommodation and food service activities,"Recreational vehicle parks, trailer parks and camping grounds","Recreational vehicle parks, trailer parks and camping grounds",Female,75,17700.0
1,Accommodation and food service activities,"Recreational vehicle parks, trailer parks and camping grounds","Recreational vehicle parks, trailer parks and camping grounds",Male,40,16200.0
1,Accommodation and food service activities,Other accommodation,Other accommodation,Female,55,17900.0
1,Accommodation and food service activities,Other accommodation,Other accommodation,Male,20,18600.0
1,Accommodation and food service activities,Licensed restaurants,Licensed restaurants,Female,1445,15700.0
1,Accommodation and food service activities,Licensed restaurants,Licensed restaurants,Male,1070,16100.0
1,Accommodation and food service activities,Unlicensed restaurants and cafes,Unlicensed restaurants and cafes,Female,1085,14600.0
1,Accommodation and food service activities,Unlicensed restaurants and cafes,Unlicensed restaurants and cafes,Male,670,15300.0
1,Accommodation and food service activities,Take-away food shops and mobile food stands,Take-away food shops and mobile food stands,Female,240,13100.0
1,Accommodation and food service activities,Take-away food shops and mobile food stands,Take-away food shops and mobile food stands,Male,320,12000.0
1,Accommodation and food service activities,Event catering activities,Event catering activities,Female,245,16800.0
1,Accommodation and food service activities,Event catering activities,Event catering activities,Male,235,17900.0
1,Accommodation and food service activities,Other food services,Other food services,Female,170,14800.0
1,Accommodation and food service activities,Other food services,Other food services,Male,110,17200.0
1,Accommodation and food service activities,Licensed clubs,Licensed clubs,Female,100,15400.0
1,Accommodation and food service activities,Licensed clubs,Licensed clubs,Male,85,14600.0
1,Accommodation and food service activities,Public houses and bars,Public houses and bars,Female,1480,15000.0
1,Accommodation and food service activities,Public houses and bars,Public houses and bars,Male,1325,15000.0
1,Administrative and support service activities,Renting and leasing of cars and light motor vehicles,Renting and leasing of cars and light motor vehicles,Female,145,23700.0
1,Administrative and support service activities,Renting and leasing of cars and light motor vehicles,Renting and leasing of cars and light motor vehicles,Male,260,23900.0
1,Administrative and support service activities,Renting and leasing of construction and civil engineering machinery and equipment,Renting and leasing of construction and civil engineering machinery and equipment,Female,10,22600.0
1,Administrative and support service activities,Renting and leasing of construction and civil engineering machinery and equipment,Renting and leasing of construction and civil engineering machinery and equipment,Male,20,26300.0
1,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.","Renting and leasing of other machinery, equipment and tangible goods n.e.c.",Female,45,23400.0
1,Administrative and support service activities,"Renting and leasing of other machinery, equipment and tangible goods n.e.c.","Renting and leasing of other machinery, equipment and tangible goods n.e.c.",Male,75,23400.0
1,Administrative and support service activities,Other activities of employment placement agencies,Other activities of employment placement agencies,Female,910,19700.0
1,Administrative and support service activities,Other activities of employment placement agencies,Other activities of employment placement agencies,Male,820,21500.0
1,Administrative and support service activities,Temporary employment agency activities,Temporary employment agency activities,Female,3670,18600.0
1,Administrative and support service activities,Temporary employment agency activities,Temporary employment agency activities,Male,2970,20400.0
1,Administrative and support service activities,Human resources provision and management of human resources functions,Human resources provision and management of human resources functions,Female,145,18200.0
1,Administrative and support service activities,Human resources provision and management of human resources functions,Human resources provision and management of human resources functions,Male,155,21900.0
1,Administrative and support service activities,Travel agency activities,Travel agency activities,Female,40,18400.0
1,Administrative and support service activities,Travel agency activities,Travel agency activities,Male,35,21000.0
1,Administrative and support service activities,Tour operator activities,Tour operator activities,Female,60,18200.0
